Date,Qom,Teh,Maz,Alb,Sem,Gol,Qaz,Isf,Frs,Hor,Koh,Cha,Bus,Gil,Ard,Aze,Azw,Kur,Zan,Mar,Ham,Khz,Krs,Lor,Ilm,Khr,Sis,Yaz,Khs,Ker,Khn,Unn,Confirmed,Deaths,Recoverd
2020/02/19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0
2020/02/20,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,
2020/02/21,7,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,13,2,
2020/02/22,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,
2020/02/23,7,4,1,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,15,2,
2020/02/24,8,3,,,,,,2,,,,,,2,,,,,,2,1,,,,,,,,,,,,18,4,
2020/02/25,16,8,2,2,,,,,1,1,,,,2,,,,,,,,,,,,1,,,,,,1,34,3,
2020/02/26,15,4,1,,1,,,,2,1,2,,,1,,,,,,1,,3,1,1,,,2,,,,,9,44,4,
2020/02/27,7,38,7,3,3,,,8,,,,,,23,5,2,1,1,,,1,,2,3,,1,,1,,,,,106,7,
2020/02/28,16,64,9,3,2,2,2,10,,,,,,25,1,4,,2,,,,3,,,,,,,,,,,143,8,
2020/02/29,21,52,12,8,4,22,6,12,8,,,,,17,3,6,,5,,18,,4,,,1,,1,4,1,,,,205,9,
2020/03/01,30,170,11,31,3,,,13,8,2,,,,28,,,,,,44,3,9,2,8,1,17,2,,2,2,,-1,385,11,
2020/03/02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,523,11,
2020/03/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,835,11,
2020/03/04,101,253,9,19,8,9,25,,14,,,1,,35,,9,,4,6,8,,27,15,5,7,8,8,,,14,1,,586,15,
2020/03/05,32,56,50,61,22,4,31,118,19,2,,8,3,80,17,10,5,6,7,31,6,1,,11,,53,5,,9,,2,-58,591,15,
2020/03/06,137,61,180,129,54,67,65,150,13,6,4,5,2,91,11,10,1,24,35,48,7,,5,50,2,,2,50,3,7,12,3,1234,17,
2020/03/07,145,126,305,3,24,58,2,96,14,11,,2,3,70,1,2,22,2,2,37,11,1,4,27,2,46,13,24,,15,8,,1076,21,
2020/03/08,17,266,14,2,37,13,29,80,9,5,3,5,2,2,9,30,7,19,1,70,26,5,2,37,,19,,6,26,1,1,,743,49,
2020/03/09,27,140,13,,45,,40,37,29,17,,5,1,28,22,22,29,3,15,54,,4,11,7,16,29,,3,-7,-5,10,,595,43,
2020/03/10,39,169,253,32,1,4,10,17,18,17,2,11,7,,19,17,4,12,11,27,17,37,7,25,25,39,6,37,14,4,,,881,54,
2020/03/11,53,256,32,45,63,9,27,170,19,10,,1,,5,1,29,27,6,22,31,7,17,8,9,6,34,4,23,15,18,11,,958,63,
2020/03/12,42,303,79,74,40,25,42,4,29,,15,11,3,84,14,7,19,9,17,88,12,31,20,25,7,29,6,21,12,7,,,1075,75,
2020/03/13,42,303,192,6,38,21,12,110,33,4,,,,71,15,97,25,9,20,48,10,15,15,25,8,110,2,46,,12,,,1289,85,
2020/03/14,32,347,17,134,47,,47,155,11,,,,7,113,33,59,31,5,31,115,7,48,8,2,6,30,2,73,4,,1,,1365,97,